código,nome,nome completo,ispb
276.0,BCO SENFF S.A.,BANCO SENFF S.A.,11970623
278.0,GENIAL INVESTIMENTOS CVM S.A.,Genial Investimentos Corretora de Valores Mobiliários S.A.,27652684
279.0,COOP DE PRIMAVERA DO LESTE,PRIMACREDI COOPERATIVA DE CRÉDITO DE PRIMAVERA DO LESTE,26563270
280.0,WILL FINANCEIRA S.A.CFI,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",23862762
281.0,CCR COOPAVEL,Cooperativa de Crédito Rural Coopavel,76461557
283.0,RB INVESTIMENTOS DTVM LTDA.,RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA,89960090
285.0,FRENTE CC S.A.,FRENTE CORRETORA DE CÂMBIO S.A.,71677850
288.0,CAROL DTVM LTDA.,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,62237649
289.0,EFX CC LTDA.,EFX CORRETORA DE CÂMBIO LTDA.,94968518
290.0,PAGSEGURO INTERNET IP S.A.,PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.,08561701
292.0,BS2 DTVM S.A.,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.,28650236
293.0,LASTRO RDV DTVM LTDA,Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.,71590442
296.0,OZ CORRETORA DE CÂMBIO S.A.,OZ CORRETORA DE CÂMBIO S.A.,04062902
298.0,VIPS CC LTDA.,Vip's Corretora de Câmbio Ltda.,17772370
299.0,BCO AFINZ S.A. - BM,BANCO AFINZ S.A. - BANCO MÚLTIPLO,04814563
300.0,BCO LA NACION ARGENTINA,Banco de la Nacion Argentina,33042151
301.0,DOCK IP S.A.,DOCK INSTITUIÇÃO DE PAGAMENTO S.A.,13370835
306.0,PORTOPAR DTVM LTDA,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,40303299
307.0,TERRA INVESTIMENTOS DTVM,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.,03751794
309.0,CAMBIONET CC LTDA,CAMBIONET CORRETORA DE CÂMBIO LTDA.,14190547
310.0,VORTX DTVM LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500
311.0,DOURADA CORRETORA,DOURADA CORRETORA DE CÂMBIO LTDA.,76641497
312.0,HSCM SCMEPP LTDA.,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT,07693858
313.0,AMAZÔNIA CC LTDA.,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.,16927221
318.0,BCO BMG S.A.,Banco BMG S.A.,61186680
319.0,OM DTVM LTDA,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,11495073
320.0,BCO CCB BRASIL S.A.,China Construction Bank (Brasil) Banco Múltiplo S/A,07450604
321.0,CREFAZ SCMEPP LTDA,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT,18188384
322.0,CCR DE ABELARDO LUZ,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz,01073966
323.0,MERCADO PAGO IP LTDA.,MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.,10573521
